Clause,Line_ID,Paragraph
4,Clause_4_1,In the event of loss of time due to blockade or detention of the vessel in any port of place by shore labour or others (whether arising from Governmental restrictions or not) by reason of: A. The terms and conditions on which the members of the crew are employed. B. Any physical or documentary deficiency in relation to the vessel safety. Payment of the hire shall cease for the time thereby lost.
4,Clause_4_1,In the event of loss of time due to blockade or detention of the vessel in any port of place by shore labour or others (whether arising from Governmental restrictions or not) by reason of:
4,Clause_4_2,A. The terms and conditions on which the members of the crew are employed.
4,Clause_4_3,B. Any physical or documentary deficiency in relation to the vessel safety. Payment of the hire shall cease for the time thereby lost.
4,Clause_4_3,B. Any physical or documentary deficiency in relation to the vessel safety.
4,Clause_4_4,Payment of the hire shall cease for the time thereby lost.
5,Clause_5_1,"An delay, vessel's expenses or fines incurred on account of smuggling, if caused by the Officers, crew or other persons employed by the Owners, to be for Owners' account, but if caused by Agents, Stevedores or staff or supercargo of Charterers' same to be for Charterers' time and expenses."
5,Clause_5_1,"Any delay, vessel's expenses or fines incurred on account of smuggling, if caused by the Officers, crew or other persons employed by the Owners, to be for Owners' account, but if caused by Agents, Stevedores or staff or supercargo of Charterers' same to be for Charterers' time and expenses."
6,Clause_6_1,"Trading area to be worldwide within International Navigational Limits via safe ports, safe berths always afloat, always accessible but excluding Israel, all Russian Pacific Ports, Qatar ,Iraq, Iran, Cambodia (Kampuchea), Cuba, Salvador, Congo (Brazzaville), Orinoco, Somalia, Vanino, Yemen, Liberia, North Korea, Turkey Occupied Cyprus, East Timor, Nigerian Trading Syria, Iceland, Libya, Albania, Serbia, Montenegro excluding Bar for loading, Haiti, Ghana, Zaire, Burma, Tanzania, Namibia, Nicaragua, El Salvador, Georgia, Ethiopia, Guatemala, Angola, Ivory Coast, Kenya, direct trading between People Republic of China and Taiwan and vice versa excluded. Owners/Vessel to be kept harmless of any fines or black listing, or loss of time or violation of any sanctions between the two countries directly related to the specific trade performed. War or warlike zone and any countries banned and/or boycotted by USA or UN or prohibited by vessel's flag. Vessel will not be required to call above San Lorenzo but including Quebracho/Terminal 6 and Timbues."
6,Clause_6_1,"Trading area to be worldwide within international navigational limits via safe ports, safe berths always afloat, always accessible but excluding Russia, Ukraine, Israel, Qatar ,Iraq, Iran, Cambodia (Kampuchea), Cuba, Salvador, Congo (Brazzaville), Orinoco, Somalia, Yemen, Liberia, North Korea, Turkey occupied Cyprus, East Timor, Nigerian trading Syria, Iceland, Libya, Albania, Serbia, Montenegro excluding bar for loading, Haiti, Ghana, Zaire, Burma, Tanzania, Namibia, Nicaragua, El Salvador, Georgia, Ethiopia, Guatemala, Angola, Ivory Coast, Kenya, direct trading between people republic of China and Taiwan and vice versa excluded. Owners/vessel to be kept harmless of any fines or black listing, or loss of time or violation of any sanctions between the two countries directly related to the specific trade performed. War or warlike zone and any countries banned and/or boycotted by USA or un or prohibited by vessel's flag. Vessel will not be required to call above San Lorenzo but including Quebracho/Terminal 6 and Timbues."
6,Clause_6_1,"Trading area to be worldwide within international navigational limits via safe ports, safe berths always afloat, always accessible but excluding Israel, all Russian pacific ports, Qatar ,Iraq, Iran, Cambodia (Kampuchea), Cuba, Salvador, Congo (Brazzaville), Orinoco, Somalia, Yemen, Liberia, North Korea, Turkey occupied Cyprus, East Timor, Nigerian trading Syria, Iceland, Libya, Albania, Serbia, Montenegro excluding bar for loading, Haiti, Ghana, Zaire, Burma, Tanzania, Namibia, Nicaragua, El Salvador, Georgia, Ethiopia, Guatemala, Angola, Ivory Coast, Kenya, direct trading between people republic of China and Taiwan and vice versa excluded. Owners/vessel to be kept harmless of any fines or black listing, or loss of time or violation of any sanctions between the two countries directly related to the specific trade performed. War or warlike zone and any countries banned and/or boycotted by USA or un or prohibited by vessel's flag. Vessel will not be required to call above San Lorenzo but including Quebracho/Terminal 6 and Timbues."
6,Clause_6_1,"Trading area to be worldwide within International Navigational Limits via safe ports, safe berths always afloat, always accessible but excluding Israel, all Russian Pacific Ports, Qatar ,Iraq, Iran, Cambodia (Kampuchea), Cuba, Salvador, Congo (Brazzaville), Orinoco, Somalia, Yemen, Liberia, North Korea, Turkey occupied Cyprus, East Timor, Nigerian trading Syria, Iceland, Libya, Albania, Serbia, Montenegro excluding bar for loading, Haiti, Ghana, Zaire, Burma, Tanzania, Namibia, Nicaragua, El Salvador, Georgia, Ethiopia, Guatemala, Angola, Ivory Coast, Kenya, direct trading between People Republic of China and Taiwan and vice versa excluded."
6,Clause_6_10,"Routing via Mozambique channel, but always more than 400 miles from Somali coast, and Owners will embark armed guards either in Durban or in Comores Islands, time for embarking and disembarking guards for Charterers' account max cost included among others, extra insurances, armed guards, anti- piracy, crew bonus and KNR, if needed to be currently max US$ ------ (subject updates) final payment against original vouchers."
6,Clause_6_11,It is clearly understood that the vessel is allowed to transit Gulf of Aden at maximum US$ ------ for Charterers account covering all anti-piracy and additional insurance whatsoever.
6,Clause_6_11,It is clearly understood that the vessel is allowed to transit Gulf of Aden at maximum US$for Charterers account covering all antipiracy and additional insurance whatsoever.
6,Clause_6_12,"It is clearly understood that the vessel is allowed to trade Arabian Gulf always outside HRA at maximum US$ for Charterers' account covering anti-piracy and additional insurance whatsoever for transit between long 065e until long 058e - war risk premium for staying in Arabian Gulf, ports in red sea as per underwriters invoice."
6,Clause_6_12,"It is clearly understood that the vessel is allowed to trade Arabian Gulf always outside HRA at maximum US$ ----- for Charterers' account covering antipiracy and additional insurance whatsoever for transit between long 065e until long 058e - war risk premium for staying in Arabian Gulf, ports in red sea as per underwriters invoice."
6,Clause_6_13,The vessel should always transit Strait of Hormuz between the coordinates around position 26 20 n 055 58 e & around position 26 00 n 056 50 e and also Bab Al-Mandab Strait during Gulf of Aden transit in daylight only and at full speed at Charterers' time and cost
6,Clause_6_14,Spitzbergen always excluded from trade. Vessel not to be employed on consecutive short haul trades. Jordan allowed for Aqaba only. Vessel not to be sub - chartered to companies based in countries excluded in this clause.
6,Clause_6_14,Spitzbergen always excluded from trade.
6,Clause_6_14,Spitzbergen always excluded from trade. Vessel not to be employed on consecutive short haul trades. Jordan allowed for Aqaba only.
6,Clause_6_15,"Vessel to proceed outside the JWC listed areas when trading Indian Ocean and staying within the 12nm zone of West Coast India/Pakistan. Should the vessel enter in JWC listed area for safety reasons (e.g. But not limited to avoid collision with other vessels, fishing areas, dense traffic, shallow waters, crossing bays etc.) Or navigational reasons vessel has to follow designated safety fairways, then wrap/insurances must be paid by charterers as per invoice. Owners confirm that no armed/unarmed guards will be employed."
6,Clause_6_15,"Vessel to proceed outside the JWC listed areas when trading Indian Ocean and staying within the 12nm zone of West Coast India/Pakistan. Should the vessel enter in JWC-listed area for safety reasons (e.g. But not limited to avoid collision with other vessels, fishing areas, dense traffic, shallow waters, crossing bays etc.) Or navigational reasons vessel has to follow designated safety fairways, then wrap/insurances must be paid by charterers as per invoice. Owners confirm that no armed/unarmed guards will be employed."
6,Clause_6_15,"Vessel to proceed outside the JWC Listed areas when trading Indian Ocean and staying within the 12nm zone of west coast India/Pakistan. Should the vessel enter in JWCListed area for safety reasons (e.g. but not limited to avoid collision with other vessels, fishing areas, dense traffic, shallow waters, crossing bays etc.) or navigational reasons vessel has to follow designated safety fairways, then wrap/insurances must be paid by charterers as per invoice .Owners confirm that no armed/unarmed guards will be employed."
6,Clause_6_16,"Routing via Mozambique Channel, but always more than 400 miles from Somali Coast, and Owners will embark armed guards either in Durban or in Comores ISLANDS, time for embarking and disembarking guards for charterers' account max cost included among others, extra insurances, armed guards, anti-piracy, crew bonus and KNR, if needed to be currently max U.S. $ (as per invoiced) (subject updates) final payment against original vouchers."
6,Clause_6_16,"Routing via Mozambique Channel, but always more than 400 miles from Somali Coast, and Owners will embark armed guards either in Durban or in Comores ISLANDS, time for embarking and disembarking guards for charterers' account max cost included among others, extra insurances, armed guards, antipiracy, crew bonus and KNR, if needed to be currently max U.S. $ (as per invoiced) (subject updates) final payment against original vouchers."
6,Clause_6_17,It is clearly understood that the vessel is allowed to transit gulf of Aden at maximum U.S. $ (as per invoiced) for charterers account covering all anti-piracy and additional insurance whatsoever.
6,Clause_6_17,It is clearly understood that the vessel is allowed to transit gulf of Aden at maximum U.S. $ (as per invoiced) for charterers account covering all antipiracy and additional insurance whatsoever.
6,Clause_6_18,"Owners to arrange all security measures for the transit through the piracy area (including any insurance, crew bonus, razor wires, armed guards etc ... ). All of the cost to be reimbursed by Charterers based on the supported vouchers."
6,Clause_6_18,"Owners to arrange all security measures for the transit through the piracy area (including any insurance, crew bonus, razor wires, armed guards etc.). All of the cost to be reimbursed by Charterers based on the supported vouchers."
6,Clause_6_2,Russian ports as per Charter Party except Vostochny/ Nakhodka to be allowed where vessel never to force ice nor push ice nor follow ice breakers and always within Institute Warranty Limits.
6,Clause_6_2,Russian ports as per charter party except Vostochny/ Nakhodka to be allowed where vessel never to force ice nor push ice nor follow ice breakers and always within institute warranty limits.
6,Clause_6_3,BIMCO Ice Clause for time chartering (attached in this Charter Party) to apply.
6,Clause_6_3,BIMCO Ice Clause for time chartering (attached in this Charter Party) to apply. No breach of International Navigational Limits allowed in this Charter Party.
6,Clause_6_4,Further more trading to be excluded during Ice Season during 1st December - 1st May.
6,Clause_6_4,Further more trading to be excluded during Ice Season during 1st December - 1st May.
6,Clause_6_5,No breach of International Navigational Limits allowed in this Charter Party.
6,Clause_6_6,Notwithstanding anything agreed in this clause it is clearly understood that vessel will always trade within within International Navigational Limits.
6,Clause_6_6,Notwithstanding anything agreed in this clause it is clearly understood that vessel will always trade within international navigational limits.
6,Clause_6_6,Notwithstanding anything agreed in this clause it is clearly understood that vessel will always trade within International
6,Clause_6_7,Spitzbergen always excluded from trade. Vessel not to be employed on consecutive short haul trades. Jordan allowed for Aqaba only.
6,Clause_6_7,Spitzbergen always excluded from trade. Vessel not to be employed on consecutive short haul trades. Jordan allowed for Aqaba only.
6,Clause_6_7,Vessel not to be employed on consecutive short haul trades. Jordan allowed for Aqaba only. Vessel not to be sub - chartered to companies based in countries excluded in this clause.
6,Clause_6_7,Spitzbergen always excluded from trade.
6,Clause_6_7,Vessel not to be employed on consecutive short haul trades. Jordan allowed for Aqaba only.
6,Clause_6_7,Vessel not to be employed on consecutive short haul trades. Jordan allowed for Aqaba only.
6,Clause_6_8,Vessel not to be sub - chartered to companies based in countries excluded in this clause.
6,Clause_6_9,"Notwithstanding the Bimco Piracy Clause 2013 and the Conwartime 2013 Clause captioned in this Charter Party, if requested by Charterers, Owners agree to transit via the coast of Pakistan and Iran into the Persian Gulf. If/when the vessel navigates inside the piracy zone then any applicable insurances net of no claim bonus are for Charterers' account but Charterers will not be required to pay for crew bonus and/or armed/unarmed guards."
7,Clause_7_1,Any time lost as a result of complying with such orders shall not be considered offhire.
7,Clause_7_1,"(a) The Vessel shall not be obliged to proceed or required to continue to or through, any port, place, area or zone, or any waterway or canal (hereinafter ""Area"") which, in the reasonable judgement of the Master and/or the Owners, is dangerous to the Vessel, cargo, crew or other persons on board the Vessel due to any actual, threatened or reported acts of piracy and/or violent robbery and/or capture/seizure (hereinafter ""Piracy""), whether such risk existed at the time of entering into this Charter Party or occurred thereafter. Should the Vessel be within any such place as aforesaid which only becomes dangerous, or may become dangerous, after entry into it, the Vessel shall be at liberty to leave it."
7,Clause_7_1,(b) If in accordance with subclause (a) the Owners decide that the Vessel shall not proceed or continue to or through the Area they must immediately inform the Charterers. The Charterers shall be obliged to issue alternative voyage orders and shall indemnify the Owners for any claims from holders of the Bills of Lading or third parties caused by waiting for such orders and/or the performance of an alternative voyage.
7,Clause_7_1,(c) If the Owners consent or if the Vessel proceeds to or through an Area exposed to the risk of Piracy the Owners shall have the liberty:
7,Clause_7_1,(c) if the owners consent or if the vessel proceeds to or through an area exposed to the risk of piracy the owners shall have the liberty:
7,Clause_7_10,"(iv) All payments arising under Sub-clause (d) shall be settled within fifteen (15) days of receipt of Owners' supported invoices or on redelivery, whichever occurs first."
7,Clause_7_10,"(iv) all payments arising under subclause (d) shall be settled within fifteen (15) days of receipt of owners' supported invoices or on redelivery, whichever occurs first."
7,Clause_7_11,(e) If the Vessel is attacked by pirates any time lost shall be for the account of the Charterers and the Vessel shall remain on hire.
7,Clause_7_11,(e) if the vessel is attacked by pirates any time lost shall be for the account of the charterers and the vessel shall remain on hire.
7,Clause_7_12,"(f) If the Vessel is seized by pirates the Owners shall keep the Charterers closely informed of the efforts made to have the Vessel released. The Vessel shall remain on hire throughout the seizure and the Charterers' obligations shall remain unaffected, except that hire payments shall cease as of the ninety- first (91st) day after the seizure until release. The Charterers shall pay hire, or if the Vessel has been redelivered, the equivalent of Charter Party hire, for any time lost in making good any damage and deterioration resulting from the seizure. The Charterers shall not be liable for late redelivery under this Charter Party resulting from the seizure of the Vessel."
7,Clause_7_12,"(f) if the vessel is seized by pirates the owners shall keep the charterers closely informed of the efforts made to have the vessel released. The vessel shall remain on hire throughout the seizure and the charterers' obligations shall remain unaffected, except that hire payments shall cease as of the ninetyfirst (91st) day after the seizure until release. The charterers shall pay hire, or if the vessel has been redelivered, the equivalent of charter party hire, for any time lost in making good any damage and deterioration resulting from the seizure. The charterers shall not be liable for late redelivery under this charter party resulting from the seizure of the vessel."
7,Clause_7_12,"(f) if the vessel is seized by pirates the owners shall keep the charterers closely informed of the efforts made to have the vessel released. The vessel shall remain on hire throughout the seizure and the charterers' obligations shall remain unaffected, except that hire payments shall cease as of the ninety-first (91st) day after the seizure until release. The charterers shall pay hire, or if the vessel has been redelivered, the equivalent of charter party hire, for any time lost in making good any damage and deterioration resulting from the seizure. The charterers shall not be liable for late redelivery under this charter party resulting from the seizure of the vessel."
7,Clause_7_13,"(g) If in compliance with this Clause anything is done or not done, such shall not be deemed a deviation, but shall be considered as due fulfilment of this Charter Party. In the event of a conflict between the provisions of this Clause and any implied or express provision of the Charter Party, this Clause shall prevail."
7,Clause_7_13,"(g) if in compliance with this clause anything is done or not done, such shall not be deemed a deviation, but shall be considered as due fulfilment of this charter party. In the event of a conflict between the provisions of this clause and any implied or express provision of the charter party, this clause shall prevail."
7,Clause_7_13,"(f) If in compliance with this Clause anything is done or not done, such shall not be deemed a deviation, but shall be considered as due fulfilment of this Charter Party. In the event of a conflict between the provisions of this Clause and any implied or express provision of the Charter Party, this Clause shall prevail to the extent of such conflict, but no further."
7,Clause_7_2,"(i) to take reasonable preventative measures to protect the Vessel, crew and cargo including but not limited to re-routeing within the Area, proceeding in convoy, using escorts, avoiding day or night navigation, adjusting speed or course, or engaging security personnel and/or deploying equipment on or about the Vessel (including embarkation/disembarkation)."
7,Clause_7_2,"(i) to take reasonable preventative measures to protect the Vessel, crew and cargo including but not limited to rerouteing"
7,Clause_7_2,"within the Area, proceeding in convoy, using escorts, avoiding day or night navigation, adjusting speed or course, or engaging security personnel and/or deploying equipment on or about the Vessel (including embarkation/disembarkation)."
7,Clause_7_2,"(i) to take reasonable preventative measures to protect the vessel, crew and cargo including but not limited to rerouteing within the area, proceeding in convoy, using escorts, avoiding day or night navigation, adjusting speed or course, or engaging security personnel and/or deploying equipment on or about the vessel (including embarkation/disembarkation)."
7,Clause_7_3,(ii) to comply with the requirements of the Owners' insurers under the terms of the Vessel's insurance(s);
7,Clause_7_3,(ii) to comply with the requirements of the owners' insurers under the terms of the vessel's insurance(s);
7,Clause_7_4,"(iii) to comply with all orders, directions, recommendations or advice given by the Government of the Nation under whose flag the Vessel sails, or other Government to whose laws the Owners are subject, or any other Government, body or group (including military authorities) whatsoever acting with the power to compel compliance with their orders or directions; and"
7,Clause_7_4,"(iii) to comply with all orders, directions, recommendations or advice given by the government of the nation under whose flag the vessel sails, or other government to whose laws the owners are subject, or any other government, body or group (including military authorities) whatsoever acting with the power to compel compliance with their orders or directions; and"
7,Clause_7_5,"(iv) to comply with the terms of any resolution of the Security Council of the United Nations, the effective orders of any other Supranational body which has the right to issue and give the same, and with national laws aimed at enforcing the same to which the Owners are subject, and to obey the orders and directions of those who are charged with their enforcement;"
7,Clause_7_5,"(iv) to comply with the terms of any resolution of the security council of the united nations, the effective orders of any other supranational body which has the right to issue and give the same, and with national laws aimed at enforcing the same to which the owners are subject, and to obey the orders and directions of those who are charged with their enforcement;"
7,Clause_7_5,"(iii) to comply with the terms of any resolution of the Security Council of the United Nations, the effective orders of any other Supranational body which has the right to issue and give the same, and with national laws aimed at enforcing the same to which the Owners are subject, and to obey the orders and directions of those who are charged with their enforcement;"
7,Clause_7_5,"(iv) to comply with the terms of any resolution of the security council of the united nations, the effective orders of any other supranational body which has the right to issue and give the same, and with national laws aimed at enforcing the same to which the owners are subject, and to obey the orders and directions of those who are"
7,Clause_7_6,"and the Charterers shall indemnify the Owners for any claims from holders of Bills of Lading or third parties caused by the Vessel proceeding as aforesaid, save to the extent that such claims are covered by additional insurance as provided in sub-clause (d)(iii)."
7,Clause_7_6,"And the charterers shall indemnify the owners for any claims from holders of bills of lading or third parties caused by the vessel proceeding as aforesaid, save to the extent that such claims are covered by additional insurance as provided in subclause (d)(iii)."
7,Clause_7_7,"(i) If the Vessel proceeds to or through an Area where due to risk of Piracy additional costs will be incurred including but not limited to additional personnel and preventative measures to avoid Piracy, such reasonable costs shall be for the Charterers' account. Any time lost waiting for convoys, following recommended routeing, timing, or reducing speed or taking measures to minimise risk, shall be for the Charterers' account and the Vessel shall remain on hire;"
7,Clause_7_7,"(i) if the vessel proceeds to or through an area where due to risk of piracy additional costs will be incurred including but not limited to additional personnel and preventative measures to avoid piracy, such reasonable costs shall be for the charterers' account. Any time lost waiting for convoys, following recommended routeing, timing, or reducing speed or taking measures to minimise risk, shall be for the charterers' account and the vessel shall remain on hire;"
7,Clause_7_8,"(ii) If the Owners become liable under the terms of employment to pay to the crew any bonus or additional wages in respect of sailing into an area which is dangerous in the manner defined by the said terms, then the actual bonus or additional wages paid shall be reimbursed to the Owners by the Charterers;"
7,Clause_7_8,"(ii) if the owners become liable under the terms of employment to pay to the crew any bonus or additional wages in respect of sailing into an area which is dangerous in the manner defined by the said terms, then the actual bonus or additional wages paid shall be reimbursed to the owners by the charterers;"
7,Clause_7_9,"(iii) If the Vessel proceeds to or through an Area exposed to the risk of Piracy, the Charterers shall reimburse to the Owners any additional premiums required by the Owners' insurers and the costs of any additional insurances that the Owners reasonably require in connection with Piracy risks which may include but not be limited to War Loss of Hire and/or maritime K&R."
7,Clause_7_9,"(iii) if the vessel proceeds to or through an area exposed to the risk of piracy, the charterers shall reimburse to the owners any additional premiums required by the owners' insurers and the costs of any additional insurances that the owners reasonably require in connection with piracy risks which may include but not be limited to war loss of hire and/or maritime k&r."
7,Clause_7_4,"(iii) to comply with all orders, directions, recommendations or advice given by the Government of the Nation under whose flag the Vessel sails, or other Government to whose laws the Owners are subject, or any other Government, body or group, including military authorities, whatsoever acting with the power to compel compliance with their orders or directions; and"
7,Clause_7_6,"and the Charterers shall indemnify the Owners for any claims from holders of Bills of Lading or third parties caused by the Vessel proceeding as aforesaid, save to the extent that such claims are covered by additional insurance as provided in subclause (d)(iii)."
7,Clause_7_7,"(i) If the Vessel proceeds to or through the Indian Ocean Additional Premium Area as designated by Vessels war risks underwriters or another permitted Area where due to risk of Piracy additional costs will be incurred including but not limited to additional personnel and preventative measures to avoid Piracy, such reasonable costs shall be for the Charterers' account. Any time lost waiting for convoys, following recommended routeing, timing, or reducing speed or taking measures to minimise risk, shall be for the Charterers' account and the Vessel shall remain on hire;"
8,Clause_8_1,The Charter period from delivery to redelivery is to be calculated by GMT at both ends.
8,Clause_8_1,CLAUSE 36 LOCAL TIME The Charter period from delivery to redelivery is to be calculated by GMT at both ends.
9,Clause_9_1,Vessel holds on arrival at the first loading port under this Charter Party shall be suitable in all respects to receive the cargo to the satisfaction of local or relevant surveyors.
9,Clause_9_2,"If the vessel's holds fails the cleanliness survey, then vessel to be placed off hire from the time of failure till the vessel passes the same cleanliness survey again. Any expenses directly attributable thereto shall be for Owner's account."
9,Clause_9_3,"Upon arrival at the first loading port the vessel should be grain clean and ready in all respects and in all compartments to load Charterers cargo of grain/grain products with holds clean-swept, washed down by fresh water, dried, free of salt, rust scale and residues of previous cargoes to local competent authorities' satisfaction. Should the vessel fail such inspection the Owners, in cooperation with Charterers, shall take immediate corrective steps and expedite cleaning as quickly as possible. In case of a failure of inspection, the vessel will be off hire, from time of failing until re-inspected and passed. Any directly related costs and expenses, including bunkers consumed will be for Owners' account."
9,Clause_9_4,Charterers or Charterers/Shippers appointed surveyor shall have the privilege of ordering a hatch hose/ultrasonic test prior to or after the delivery of the vessel. Time and cost to be for CCharterers account but the Master to give every facility to the Charterers and their surveyors to carry out such tests.
10,Clause_10_1,"Should the vessel put back whilst on voyage by reason of an accident or breakdown, or in an event of loss of time, either in port or at sea, or deviation, upon the course of the voyage caused by sickness, accident or any other form of disability or inability to serve of the master, officers, crew or any person on board the vessel (other than passengers travelling by request of Charterers) "
10,Clause_10_1,"Should the vessel put back whilst on voyage by reason of an accident or breakdown, or in an event of loss of time, either in port or at sea, or deviation, upon the course of the voyage caused by sickness, accident or any other form of disability or inability to serve of the master, officers, crew or any person on board the vessel (other than passengers travelling by request"
10,Clause_10_2,"Should the vessel deviate for any other reasons contrary to the orders or directions of the Charterers, the hire is to be suspended from the time of her deviating or putting back until she is again in the same or equidistant position from the destination and the voyage resumed therefrom."
10,Clause_10_3,Consumption of bunkers during any and all off-hire periods are to be for Owners' account.
10,Clause_10_3,Consumption of bunkers during any and all offhire periods are to be for Owners' account.
10,Clause_10_4,"If the vessel is offline for more than 60 (sixty) consecutive days, Charterers have the right to cancel the balance period of this Charter."
10,Clause_10_4,"If the vessel is off hire for more than 60 (sixty) consecutive days, Charterers have the right to cancel the balance period of this Charter."
10,Clause_10_4,"If the vessel is offline for more than 90 (ninety) consecutive days, Charterers have the right to cancel the balance period of this Charter."
10,Clause_10_5,"or by reason of refusal of the master, officers or crew to perform their duties, the hire shall be suspended from the time of the deviation until the vessel is again efficient in the same or equivalent position and the voyage resumed therefrom and all extra expenses incurred including bunkers consumed during the period of the suspended hire shall be for Owners' account. All time spent in such assistance or deviation shall be considered off hire, unless for purpose of saving life.or by reason of refusal of the master, officers or crew to perform their duties, the hire shall be suspended from the time of the deviation until the vessel is again efficient in the same or equivalent position and the voyage resumed therefrom and all extra expenses incurred including bunkers consumed during the period of the suspended hire shall be for Owners' account. All time spent in such assistance or deviation shall be considered off hire, unless for purpose of saving life."
10,Clause_10_5,"Should the vessel put back whilst on voyage by reason of an accident or breakdown, or in an event of loss of time, either in port or at sea, or deviation, upon the course of the voyage caused by sickness, accident or any other form of disability or inability to serve of the master, officers, crew or any person on board the vessel (other than passengers travelling by request of Charterers) or by reason of refusal of the master, officers or crew to perform their duties, the hire shall be suspended from the time of the deviation until the vessel is again efficient in the same or equivalent position and the voyage resumed therefrom and all extra expenses incurred including bunkers consumed during the period of the suspended hire shall be for Owners' account. All time spent in such assistance or deviation shall be considered off hire, unless for purpose of saving life."
11,Clause_11_1,Charterers do not have the right to withhold from Charter hire during the period of this Charter any disputed off hire/damages unless same explicitly agreed in the Charter Party. Charterers shall have the liberty to deduct from hire payment any amount disbursed for Owners account supported by vouchers after Owners agreement.
